
  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/

 :: Spring Boot ::                (v3.3.5)

2026-05-25 23:35:24.294 [background-preinit] INFO  o.h.validator.internal.util.Version trace= span= tenant= user= - HV000001: Hibernate Validator 8.0.1.Final
2026-05-25 23:35:24.367 [main] INFO  com.azurion.AzurionApplication trace= span= tenant= user= - Starting AzurionApplication v0.1.0-SNAPSHOT using Java 21.0.10 with PID 21908 (D:\ProyectosProgramacion\Azurion\target\azurion-backend-0.1.0-SNAPSHOT.jar started by IVAN_CALDERON in D:\ProyectosProgramacion\Azurion)
2026-05-25 23:35:24.369 [main] INFO  com.azurion.AzurionApplication trace= span= tenant= user= - No active profile set, falling back to 1 default profile: "default"
2026-05-25 23:35:26.736 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate trace= span= tenant= user= - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-05-25 23:35:26.876 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate trace= span= tenant= user= - Finished Spring Data repository scanning in 123 ms. Found 15 JPA repository interfaces.
2026-05-25 23:35:28.715 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer trace= span= tenant= user= - Tomcat initialized with port 8080 (http)
2026-05-25 23:35:28.740 [main] INFO  o.a.coyote.http11.Http11NioProtocol trace= span= tenant= user= - Initializing ProtocolHandler ["http-nio-8080"]
2026-05-25 23:35:28.751 [main] INFO  o.a.catalina.core.StandardService trace= span= tenant= user= - Starting service [Tomcat]
2026-05-25 23:35:28.756 [main] INFO  o.a.catalina.core.StandardEngine trace= span= tenant= user= - Starting Servlet engine: [Apache Tomcat/10.1.31]
2026-05-25 23:35:28.838 [main] INFO  o.a.c.c.C.[.[localhost].[/api] trace= span= tenant= user= - Initializing Spring embedded WebApplicationContext
2026-05-25 23:35:28.840 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext trace= span= tenant= user= - Root WebApplicationContext: initialization completed in 4390 ms
2026-05-25 23:35:29.669 [main] INFO  com.zaxxer.hikari.HikariDataSource trace= span= tenant= user= - HikariPool-1 - Starting...
2026-05-25 23:35:30.071 [main] INFO  com.zaxxer.hikari.pool.HikariPool trace= span= tenant= user= - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@1f3361e9
2026-05-25 23:35:30.074 [main] INFO  com.zaxxer.hikari.HikariDataSource trace= span= tenant= user= - HikariPool-1 - Start completed.
2026-05-25 23:35:30.141 [main] INFO  org.flywaydb.core.FlywayExecutor trace= span= tenant= user= - Database: jdbc:postgresql://localhost:5432/dbazurion (PostgreSQL 18.4)
2026-05-25 23:35:30.169 [main] WARN  o.f.c.i.database.base.Database trace= span= tenant= user= - Flyway upgrade recommended: PostgreSQL 18.4 is newer than this version of Flyway and support has not been tested. The latest supported version of PostgreSQL is 16.
